Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Third Wave Coffee,https://www.google.com/maps/dir/?api=1&destination=Third+Wave+Coffee+Noida,8AM,11PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”ŒğŸ”Œ
Blue Tokai Coffee Roasters,https://www.google.com/maps/dir/?api=1&destination=Blue+Tokai+Coffee+Roasters+Delhi,8AM,10PM,â˜•â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”ŒğŸ”Œ
Chaayos,https://www.google.com/maps/dir/?api=1&destination=Chaayos+Noida,7AM,11PM,â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Cafe Coffee Day,https://www.google.com/maps/dir/?api=1&destination=Cafe+Coffee+Day+Noida,9AM,11PM,â˜•â˜•,ğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Barista,https://www.google.com/maps/dir/?api=1&destination=Barista+Noida,8AM,10PM,â˜•â˜•â˜•,ğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
The Coffee Bean & Tea Leaf,https://www.google.com/maps/dir/?api=1&destination=The+Coffee+Bean+%26+Tea+Leaf+Delhi,9AM,11PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Starbucks,https://www.google.com/maps/dir/?api=1&destination=Starbucks+Noida,8AM,11PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Perch Wine & Coffee Bar,https://www.google.com/maps/dir/?api=1&destination=Perch+Wine+%26+Coffee+Bar+Delhi,11AM,11PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Social,https://www.google.com/maps/dir/?api=1&destination=Social+Cafe+Delhi,10AM,1AM,â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Cafe Lota,https://www.google.com/maps/dir/?api=1&destination=Cafe+Lota+Delhi,8AM,9PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Tim Hortons,https://www.google.com/maps/dir/?api=1&destination=Tim+Hortons+Delhi,8AM,11PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Costa Coffee,https://www.google.com/maps/dir/?api=1&destination=Costa+Coffee+Noida,8AM,10PM,â˜•â˜•â˜•,ğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
AMA Cafe,https://www.google.com/maps/dir/?api=1&destination=AMA+Cafe+Majnu+Ka+Tilla+Delhi,7:30AM,10:30PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”ŒğŸ”Œ
Diggin Cafe,https://www.google.com/maps/dir/?api=1&destination=Diggin+Cafe+Delhi,11AM,11PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Social,https://www.google.com/maps/dir/?api=1&destination=Social+Cafe+Delhi,10AM,1AM,â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Nothing Before Coffee,https://www.google.com/maps/dir/?api=1&destination=Nothing+Before+Coffee+Noida,8AM,11PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ
Theos,https://www.google.com/maps/dir/?api=1&destination=Theos+Noida,8AM,10PM,â˜•â˜•â˜•â˜•,ğŸ’ªğŸ’ª,ğŸ”ŒğŸ”Œ